"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","FamilySize","Deck","HasCabin","CabinRoom","FaresOnTicket","IndividualFare","Title","IsMarried","FsizeD","WaC","Mother","Cabin","full.1.891..c..PassengerId..."
1,2,1,29,1,0,26,3,2,8,0,0,2,13,4,1,3,2,2,0,"134"
0,2,2,25,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"135"
0,2,2,23,0,0,15.0458,1,1,8,0,0,1,15.0458,3,0,2,3,2,0,"136"
1,1,1,19,0,2,26.2833,3,3,4,1,47,1,26.2833,2,1,3,2,2,47,"137"
0,1,2,37,1,0,53.1,3,2,3,1,123,2,26.55,3,1,3,3,2,123,"138"
0,3,2,16,0,0,9.2167,3,1,8,0,0,2,4.60835,3,0,2,1,2,0,"139"
0,1,2,24,0,0,79.2,1,1,2,1,86,2,39.6,3,0,2,3,2,86,"140"
0,3,1,37,0,2,15.2458,1,3,8,0,0,3,5.08193333333333,4,1,3,2,1,0,"141"
1,3,1,22,0,0,7.75,3,1,8,0,0,1,7.75,2,0,2,2,2,0,"142"
1,3,1,24,1,0,15.85,3,2,8,0,0,2,7.925,4,1,3,2,2,0,"143"
0,3,2,19,0,0,6.75,2,1,8,0,0,1,6.75,3,0,2,3,2,0,"144"
0,2,2,18,0,0,11.5,3,1,8,0,0,1,11.5,3,0,2,3,2,0,"145"
0,2,2,19,1,1,36.75,3,3,8,0,0,4,9.1875,3,1,3,3,2,0,"146"
1,3,2,27,0,0,7.7958,3,1,8,0,0,1,7.7958,3,0,2,3,2,0,"147"
0,3,1,9,2,2,34.375,3,5,8,0,0,5,6.875,2,1,1,1,2,0,"148"
0,2,2,36.5,0,2,26,3,3,6,1,2,3,8.66666666666667,3,1,3,3,2,2,"149"
0,2,2,42,0,0,13,3,1,8,0,0,1,13,5,0,2,3,2,0,"150"
0,2,2,51,0,0,12.525,3,1,8,0,0,1,12.525,5,0,2,3,2,0,"151"
1,1,1,22,1,0,66.6,3,2,3,1,2,2,33.3,4,1,3,2,2,2,"152"
0,3,2,55.5,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"153"
0,3,2,40.5,0,2,14.5,3,3,8,0,0,3,4.83333333333333,3,1,3,3,2,0,"154"
0,3,2,27,0,0,7.3125,3,1,8,0,0,1,7.3125,3,0,2,3,2,0,"155"
0,1,2,51,0,1,61.3792,1,2,8,0,0,2,30.6896,3,1,3,3,2,0,"156"
1,3,1,16,0,0,7.7333,2,1,8,0,0,1,7.7333,2,0,2,1,2,0,"157"
0,3,2,30,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"158"
0,3,2,20,0,0,8.6625,3,1,8,0,0,1,8.6625,3,0,2,3,2,0,"159"
0,3,2,14.5,8,2,69.55,3,11,8,0,0,9,6.32272727272727,1,1,1,1,2,0,"160"
0,3,2,44,0,1,16.1,3,2,8,0,0,2,8.05,3,1,3,3,2,0,"161"
1,2,1,40,0,0,15.75,3,1,8,0,0,2,7.875,4,0,2,2,2,0,"162"
0,3,2,26,0,0,7.775,3,1,8,0,0,1,7.775,3,0,2,3,2,0,"163"
0,3,2,17,0,0,8.6625,3,1,8,0,0,1,8.6625,3,0,2,3,2,0,"164"
0,3,2,1,4,1,39.6875,3,6,8,0,0,7,5.66964285714286,1,1,1,1,2,0,"165"
1,3,2,9,0,2,20.525,3,3,8,0,0,3,6.84166666666667,1,1,3,1,2,0,"166"
1,1,1,47,0,1,55,3,2,5,1,33,2,27.5,4,1,3,2,1,33,"167"
0,3,1,45,1,4,27.9,3,6,8,0,0,6,4.65,4,1,1,2,1,0,"168"
0,1,2,33,0,0,25.925,3,1,8,0,0,1,25.925,3,0,2,3,2,0,"169"
0,3,2,28,0,0,56.4958,3,1,8,0,0,8,7.061975,3,0,2,3,2,0,"170"
0,1,2,61,0,0,33.5,3,1,2,1,19,1,33.5,3,0,2,3,2,19,"171"
0,3,2,4,4,1,29.125,2,6,8,0,0,6,4.85416666666667,1,1,1,1,2,0,"172"
1,3,1,1,1,1,11.1333,3,3,8,0,0,3,3.7111,2,1,3,1,2,0,"173"
0,3,2,21,0,0,7.925,3,1,8,0,0,1,7.925,3,0,2,3,2,0,"174"
0,1,2,56,0,0,30.6958,1,1,1,1,7,1,30.6958,3,0,2,3,2,7,"175"
0,3,2,18,1,1,7.8542,3,3,8,0,0,1,7.8542,3,1,3,3,2,0,"176"
0,3,2,2,3,1,25.4667,3,5,8,0,0,5,5.09334,1,1,1,1,2,0,"177"
0,1,1,50,0,0,28.7125,1,1,3,1,49,1,28.7125,2,0,2,2,2,49,"178"
0,2,2,30,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"179"
0,3,2,36,0,0,0,3,1,8,0,0,4,0,3,0,2,3,2,0,"180"
0,3,1,9,8,2,69.55,3,11,8,0,0,9,6.32272727272727,2,1,1,1,2,0,"181"
0,2,2,31,0,0,15.05,1,1,8,0,0,1,15.05,3,0,2,3,2,0,"182"
0,3,2,9,4,2,31.3875,3,7,8,0,0,7,4.48392857142857,1,1,1,1,2,0,"183"
1,2,2,1,2,1,39,3,4,6,1,4,4,9.75,1,1,3,1,2,4,"184"
1,3,1,4,0,2,22.025,3,3,8,0,0,3,7.34166666666667,2,1,3,1,2,0,"185"
0,1,2,57,0,0,50,3,1,1,1,32,1,50,3,0,2,3,2,32,"186"
1,3,1,32,1,0,15.5,2,2,8,0,0,2,7.75,4,1,3,2,2,0,"187"
1,1,2,45,0,0,26.55,3,1,8,0,0,1,26.55,3,0,2,3,2,0,"188"
0,3,2,40,1,1,15.5,2,3,8,0,0,2,7.75,3,1,3,3,2,0,"189"
0,3,2,36,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"190"
1,2,1,32,0,0,13,3,1,8,0,0,1,13,4,0,2,2,2,0,"191"
0,2,2,19,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"192"
1,3,1,19,1,0,7.8542,3,2,8,0,0,1,7.8542,2,1,3,2,2,0,"193"
1,2,2,3,1,1,26,3,3,6,1,2,3,8.66666666666667,1,1,3,1,2,2,"194"
1,1,1,44,0,0,27.7208,1,1,2,1,4,1,27.7208,4,0,2,2,2,4,"195"
1,1,1,58,0,0,146.5208,1,1,2,1,8,3,48.8402666666667,2,0,2,2,2,8,"196"
0,3,2,70.5,0,0,7.75,2,1,8,0,0,1,7.75,3,0,2,3,2,0,"197"
0,3,2,42,0,1,8.4042,3,2,8,0,0,1,8.4042,3,1,3,3,2,0,"198"
1,3,1,21,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,2,2,0,"199"
0,2,1,24,0,0,13,3,1,8,0,0,1,13,2,0,2,2,2,0,"200"
0,3,2,28,0,0,9.5,3,1,8,0,0,1,9.5,3,0,2,3,2,0,"201"
0,3,2,16,8,2,69.55,3,11,8,0,0,9,6.32272727272727,3,1,1,1,2,0,"202"
0,3,2,34,0,0,6.4958,3,1,8,0,0,1,6.4958,3,0,2,3,2,0,"203"
0,3,2,45.5,0,0,7.225,1,1,8,0,0,1,7.225,3,0,2,3,2,0,"204"
1,3,2,18,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"205"
0,3,1,2,0,1,10.4625,3,2,7,1,6,2,5.23125,2,1,3,1,2,6,"206"
0,3,2,32,1,0,15.85,3,2,8,0,0,2,7.925,3,1,3,3,2,0,"207"
1,3,2,26,0,0,18.7875,1,1,8,0,0,2,9.39375,3,0,2,3,2,0,"208"
1,3,1,16,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,1,2,0,"209"
1,1,2,40,0,0,31,1,1,1,1,31,1,31,3,0,2,3,2,31,"210"
0,3,2,24,0,0,7.05,3,1,8,0,0,1,7.05,3,0,2,3,2,0,"211"
1,2,1,35,0,0,21,3,1,8,0,0,2,10.5,2,0,2,2,2,0,"212"
0,3,2,22,0,0,7.25,3,1,8,0,0,1,7.25,3,0,2,3,2,0,"213"
0,2,2,30,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"214"
0,3,2,20,1,0,7.75,2,2,8,0,0,1,7.75,3,1,3,3,2,0,"215"
1,1,1,31,1,0,113.275,1,2,4,1,36,3,37.7583333333333,2,1,3,2,2,36,"216"
1,3,1,27,0,0,7.925,3,1,8,0,0,1,7.925,2,0,2,2,2,0,"217"
0,2,2,42,1,0,27,3,2,8,0,0,2,13.5,3,1,3,3,2,0,"218"
1,1,1,32,0,0,76.2917,1,1,4,1,15,2,38.14585,2,0,2,2,2,15,"219"
0,2,2,30,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"220"
1,3,2,16,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,1,2,0,"221"
0,2,2,27,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"222"
0,3,2,51,0,0,8.05,3,1,8,0,0,1,8.05,3,0,2,3,2,0,"223"
0,3,2,20,0,0,7.8958,3,1,8,0,0,1,7.8958,3,0,2,3,2,0,"224"
1,1,2,38,1,0,90,3,2,3,1,93,2,45,3,1,3,3,2,93,"225"
0,3,2,22,0,0,9.35,3,1,8,0,0,1,9.35,3,0,2,3,2,0,"226"
1,2,2,19,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"227"
0,3,2,20.5,0,0,7.25,3,1,8,0,0,1,7.25,3,0,2,3,2,0,"228"
0,2,2,18,0,0,13,3,1,8,0,0,1,13,3,0,2,3,2,0,"229"
0,3,1,9,3,1,25.4667,3,5,8,0,0,5,5.09334,2,1,1,1,2,0,"230"
1,1,1,35,1,0,83.475,3,2,3,1,83,2,41.7375,4,1,3,2,2,83,"231"
0,3,2,29,0,0,7.775,3,1,8,0,0,1,7.775,3,0,2,3,2,0,"232"
0,2,2,59,0,0,13.5,3,1,8,0,0,1,13.5,3,0,2,3,2,0,"233"
1,3,1,5,4,2,31.3875,3,7,8,0,0,7,4.48392857142857,2,1,1,1,2,0,"234"
0,2,2,24,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"235"
0,3,1,31,0,0,7.55,3,1,8,0,0,1,7.55,2,0,2,2,2,0,"236"
0,2,2,44,1,0,26,3,2,8,0,0,2,13,3,1,3,3,2,0,"237"
1,2,1,8,0,2,26.25,3,3,8,0,0,3,8.75,2,1,3,1,2,0,"238"
0,2,2,19,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"239"
0,2,2,33,0,0,12.275,3,1,8,0,0,1,12.275,3,0,2,3,2,0,"240"
0,3,1,22,1,0,14.4542,1,2,8,0,0,2,7.2271,2,1,3,2,2,0,"241"
1,3,1,16,1,0,15.5,2,2,8,0,0,2,7.75,2,1,3,1,2,0,"242"
0,2,2,29,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"243"
0,3,2,22,0,0,7.125,3,1,8,0,0,1,7.125,3,0,2,3,2,0,"244"
0,3,2,30,0,0,7.225,1,1,8,0,0,1,7.225,3,0,2,3,2,0,"245"
0,1,2,44,2,0,90,2,3,3,1,78,3,30,5,1,3,3,2,78,"246"
0,3,1,25,0,0,7.775,3,1,8,0,0,1,7.775,2,0,2,2,2,0,"247"
1,2,1,24,0,2,14.5,3,3,8,0,0,2,7.25,4,1,3,2,1,0,"248"
1,1,2,37,1,1,52.5542,3,3,4,1,35,2,26.2771,3,1,3,3,2,35,"249"
0,2,2,54,1,0,26,3,2,8,0,0,2,13,5,1,3,3,2,0,"250"
0,3,2,28,0,0,7.25,3,1,8,0,0,1,7.25,3,0,2,3,2,0,"251"
0,3,1,29,1,1,10.4625,3,3,7,1,6,2,5.23125,4,1,3,2,1,6,"252"
0,1,2,62,0,0,26.55,3,1,3,1,87,1,26.55,3,0,2,3,2,87,"253"
0,3,2,30,1,0,16.1,3,2,8,0,0,2,8.05,3,1,3,3,2,0,"254"
0,3,1,41,0,2,20.2125,3,3,8,0,0,3,6.7375,4,1,3,2,1,0,"255"
1,3,1,29,0,2,15.2458,1,3,8,0,0,3,5.08193333333333,4,1,3,2,1,0,"256"
1,1,1,30,0,0,79.2,1,1,8,0,0,2,39.6,4,0,2,2,2,0,"257"
1,1,1,30,0,0,86.5,3,1,2,1,77,3,28.8333333333333,2,0,2,2,2,77,"258"
1,1,1,35,0,0,512.3292,1,1,8,0,0,4,128.0823,2,0,2,2,2,0,"259"
1,2,1,50,0,1,26,3,2,8,0,0,2,13,4,1,3,2,1,0,"260"
0,3,2,21,0,0,7.75,2,1,8,0,0,1,7.75,3,0,2,3,2,0,"261"
1,3,2,3,4,2,31.3875,3,7,8,0,0,7,4.48392857142857,1,1,1,1,2,0,"262"
0,1,2,52,1,1,79.65,3,3,5,1,67,3,26.55,3,1,3,3,2,67,"263"
0,1,2,40,0,0,0,3,1,2,1,94,1,0,3,0,2,3,2,94,"264"
0,3,1,23,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,2,2,0,"265"
0,2,2,36,0,0,10.5,3,1,8,0,0,1,10.5,3,0,2,3,2,0,"266"
0,3,2,16,4,1,39.6875,3,6,8,0,0,7,5.66964285714286,3,1,1,1,2,0,"267"
1,3,2,25,1,0,7.775,3,2,8,0,0,1,7.775,3,1,3,3,2,0,"268"
1,1,1,58,0,1,153.4625,3,2,3,1,125,3,51.1541666666667,4,1,3,2,1,125,"269"
1,1,1,35,0,0,135.6333,3,1,3,1,99,4,33.908325,2,0,2,2,2,99,"270"
0,1,2,47,0,0,31,3,1,8,0,0,2,15.5,3,0,2,3,2,0,"271"
1,3,2,25,0,0,0,3,1,8,0,0,4,0,3,0,2,3,2,0,"272"
1,2,1,41,0,1,19.5,3,2,8,0,0,2,9.75,4,1,3,2,1,0,"273"
0,1,2,37,0,1,29.7,1,2,3,1,118,1,29.7,3,1,3,3,2,118,"274"
1,3,1,21,0,0,7.75,2,1,8,0,0,1,7.75,2,0,2,2,2,0,"275"
1,1,1,63,1,0,77.9583,3,2,4,1,7,3,25.9861,2,1,3,2,2,7,"276"
0,3,1,45,0,0,7.75,3,1,8,0,0,1,7.75,2,0,2,2,2,0,"277"
0,2,2,20,0,0,0,3,1,8,0,0,3,0,3,0,2,3,2,0,"278"
0,3,2,7,4,1,29.125,2,6,8,0,0,6,4.85416666666667,1,1,1,1,2,0,"279"
1,3,1,35,1,1,20.25,3,3,8,0,0,3,6.75,4,1,3,2,1,0,"280"
0,3,2,65,0,0,7.75,2,1,8,0,0,1,7.75,3,0,2,3,2,0,"281"
0,3,2,28,0,0,7.8542,3,1,8,0,0,1,7.8542,3,0,2,3,2,0,"282"
